Time;Time(approx);Data Count;Event Type;Duration (s);Upright Bout Number;Upright Bout Duration (s);Num Steps;Cadence;Longest Straight Line Time (s);Straight Line Time (s) (>=15s,<30s);Straight Line Time (s) (>=30s,<45s);Straight Line Time (s) (>=45s,<60s);Straight Line Time (s) (>=60s);Cumulative Positive Height Change (m);Cumulative Negative Height Change (m)
45399.6667013889;2024-04-17 16:00:03;0;0;231.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6693819444;2024-04-17 16:03:55;2316;1;1.1;1;84.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6693946759;2024-04-17 16:03:56;2327;2;12.0;1;84.3;14;70;2.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6695335648;2024-04-17 16:04:08;2447;1;13.7;1;84.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6696921296;2024-04-17 16:04:21;2584;2;26.0;1;84.3;30;69;4.2;0.0;0.0;0.0;0.0;0.00;-7.90;
45399.6699930556;2024-04-17 16:04:47;2844;1;6.5;1;84.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6700682870;2024-04-17 16:04:54;2909;2;23.7;1;84.3;30;76;2.4;0.0;0.0;0.0;0.0;4.79;-0.00;
45399.6703425926;2024-04-17 16:05:18;3146;1;1.3;1;84.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6703576389;2024-04-17 16:05:19;3159;0;449.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6755543981;2024-04-17 16:12:48;7649;1;0.9;2;35.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6755648148;2024-04-17 16:12:49;7658;2;5.5;2;35.0;10;109;4.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6756284722;2024-04-17 16:12:54;7713;1;6.9;2;35.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6757083333;2024-04-17 16:13:01;7782;2;20.4;2;35.0;28;82;9.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6759444444;2024-04-17 16:13:22;7986;1;1.3;2;35.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6759594907;2024-04-17 16:13:23;7999;0;543.5;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6822500000;2024-04-17 16:22:26;13434;1;1.0;3;19.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6822615741;2024-04-17 16:22:27;13444;2;5.2;3;19.7;8;92;1.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6823217593;2024-04-17 16:22:33;13496;1;6.7;3;19.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6823993056;2024-04-17 16:22:39;13563;2;5.4;3;19.7;10;111;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6824618056;2024-04-17 16:22:45;13617;1;1.4;3;19.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6824780093;2024-04-17 16:22:46;13631;0;345.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6864710648;2024-04-17 16:28:31;17081;1;0.9;4;36.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6864814815;2024-04-17 16:28:32;17090;2;6.9;4;36.2;10;87;5.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6865613426;2024-04-17 16:28:39;17159;1;28.4;4;36.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6868900463;2024-04-17 16:29:07;17443;0;50.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6874733796;2024-04-17 16:29:58;17947;1;1.2;5;10.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6874872685;2024-04-17 16:29:59;17959;2;8.1;5;10.8;12;89;2.2;0.0;0.0;0.0;0.0;3.85;-0.00;
45399.6875810185;2024-04-17 16:30:07;18040;1;1.5;5;10.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6875983796;2024-04-17 16:30:09;18055;0;325.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6913645833;2024-04-17 16:35:34;21309;1;1.1;6;54.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6913773148;2024-04-17 16:35:35;21320;2;7.5;6;54.5;10;80;1.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6914641204;2024-04-17 16:35:43;21395;1;8.8;6;54.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6915659722;2024-04-17 16:35:51;21483;2;4.8;6;54.5;8;100;3.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6916215278;2024-04-17 16:35:56;21531;1;32.3;6;54.5;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6919953704;2024-04-17 16:36:28;21854;0;75.2;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6928657407;2024-04-17 16:37:44;22606;1;1.2;7;20.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6928796296;2024-04-17 16:37:45;22618;2;17.7;7;20.2;18;61;3.8;0.0;0.0;0.0;0.0;0.00;-0.83;
45399.6930844907;2024-04-17 16:38:03;22795;1;1.3;7;20.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.6930995370;2024-04-17 16:38:04;22808;0;6073.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.7633888889;2024-04-17 18:19:17;83538;1;1.3;8;15.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.7634039352;2024-04-17 18:19:18;83551;2;13.2;8;15.3;18;82;4.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.7635567130;2024-04-17 18:19:31;83683;1;0.8;8;15.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.7635659722;2024-04-17 18:19:32;83691;0;43.5;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.7640694444;2024-04-17 18:20:16;84126;1;1.1;9;10.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.7640821759;2024-04-17 18:20:17;84137;2;8.8;9;10.3;14;95;4.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.7641840278;2024-04-17 18:20:26;84225;1;0.4;9;10.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.7641886574;2024-04-17 18:20:26;84229;0;5061.7;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8227731481;2024-04-17 19:44:48;134846;1;2.5;10;61.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8228020833;2024-04-17 19:44:50;134871;2;9.3;10;61.2;12;77;3.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8229097222;2024-04-17 19:44:59;134964;1;23.6;10;61.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8231828704;2024-04-17 19:45:23;135200;2;9.1;10;61.2;16;105;2.0;0.0;0.0;0.0;0.0;0.00;-5.23;
45399.8232881944;2024-04-17 19:45:32;135291;1;8.3;10;61.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8233842593;2024-04-17 19:45:40;135374;2;4.7;10;61.2;8;102;3.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8234386574;2024-04-17 19:45:45;135421;1;3.7;10;61.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8234814815;2024-04-17 19:45:49;135458;0;99.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8246342593;2024-04-17 19:47:28;136454;1;1.9;11;17.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8246562500;2024-04-17 19:47:30;136473;2;12.3;11;17.2;10;49;8.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8247986111;2024-04-17 19:47:43;136596;1;3.0;11;17.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8248333333;2024-04-17 19:47:46;136626;0;312.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8284444444;2024-04-17 19:52:58;139746;1;0.9;12;80.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8284548611;2024-04-17 19:52:59;139755;2;7.2;12;80.3;10;83;1.1;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8285381944;2024-04-17 19:53:06;139827;1;8.0;12;80.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8286307870;2024-04-17 19:53:14;139907;2;16.8;12;80.3;26;93;6.9;0.0;0.0;0.0;0.0;0.00;-1.17;
45399.8288252315;2024-04-17 19:53:31;140075;1;7.5;12;80.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8289120370;2024-04-17 19:53:38;140150;2;19.1;12;80.3;20;63;6.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8291331018;2024-04-17 19:53:57;140341;1;20.8;12;80.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8293738426;2024-04-17 19:54:18;140549;0;57.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8300381944;2024-04-17 19:55:15;141123;1;3.6;13;90.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8300798611;2024-04-17 19:55:19;141159;2;2.5;13;90.7;2;48;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8301087963;2024-04-17 19:55:21;141184;1;8.2;13;90.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8302037037;2024-04-17 19:55:30;141266;2;5.4;13;90.7;4;44;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8302662037;2024-04-17 19:55:35;141320;1;23.4;13;90.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8305370370;2024-04-17 19:55:58;141554;2;5.3;13;90.7;4;45;1.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8305983796;2024-04-17 19:56:04;141607;1;7.7;13;90.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8306875000;2024-04-17 19:56:11;141684;2;31.7;13;90.7;30;57;10.1;0.0;0.0;0.0;0.0;1.26;-0.82;
45399.8310543981;2024-04-17 19:56:43;142001;1;2.9;13;90.7;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8310879630;2024-04-17 19:56:46;142030;0;2377.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8586064815;2024-04-17 20:36:24;165806;1;1.0;14;186.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8586180556;2024-04-17 20:36:25;165816;2;11.2;14;186.0;18;96;3.9;0.0;0.0;0.0;0.0;0.00;-5.89;
45399.8587476852;2024-04-17 20:36:36;165928;1;71.8;14;186.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8595787037;2024-04-17 20:37:48;166646;2;7.0;14;186.0;6;51;0.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8596597222;2024-04-17 20:37:55;166716;1;41.3;14;186.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8601377315;2024-04-17 20:38:36;167129;2;27.4;14;186.0;18;39;11.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8604548611;2024-04-17 20:39:03;167403;1;20.8;14;186.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8606956018;2024-04-17 20:39:24;167611;2;4.2;14;186.0;6;86;2.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8607442130;2024-04-17 20:39:28;167653;1;1.3;14;186.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8607592593;2024-04-17 20:39:30;167666;0;1940.0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8832129630;2024-04-17 21:11:50;187066;1;1.0;15;140.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8832245370;2024-04-17 21:11:51;187076;2;18.1;15;140.3;12;40;6.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8834340278;2024-04-17 21:12:09;187257;1;11.3;15;140.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8835648148;2024-04-17 21:12:20;187370;2;5.0;15;140.3;6;72;0.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8836226852;2024-04-17 21:12:25;187420;1;7.2;15;140.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8837060185;2024-04-17 21:12:32;187492;2;2.7;15;140.3;4;89;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8837372685;2024-04-17 21:12:35;187519;1;67.9;15;140.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8845231481;2024-04-17 21:13:43;188198;2;3.1;15;140.3;4;77;1.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8845590278;2024-04-17 21:13:46;188229;1;7.9;15;140.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8846504630;2024-04-17 21:13:54;188308;2;2.6;15;140.3;4;92;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8846805556;2024-04-17 21:13:56;188334;1;13.5;15;140.3;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8848368056;2024-04-17 21:14:10;188469;0;47.5;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8853865741;2024-04-17 21:14:57;188944;1;2.0;16;107.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8854097222;2024-04-17 21:14:59;188964;2;9.1;16;107.1;12;79;3.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8855150463;2024-04-17 21:15:09;189055;1;8.3;16;107.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8856111111;2024-04-17 21:15:17;189138;2;23.3;16;107.1;24;62;4.6;0.0;0.0;0.0;0.0;2.23;-0.00;
45399.8858807870;2024-04-17 21:15:40;189371;1;9.5;16;107.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8859907407;2024-04-17 21:15:50;189466;2;6.5;16;107.1;10;92;2.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8860659722;2024-04-17 21:15:56;189531;1;8.1;16;107.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8861597222;2024-04-17 21:16:04;189612;2;8.3;16;107.1;14;101;2.5;0.0;0.0;0.0;0.0;0.00;-3.44;
45399.8862557870;2024-04-17 21:16:13;189695;1;8.1;16;107.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8863495370;2024-04-17 21:16:21;189776;2;8.5;16;107.1;4;28;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8864479167;2024-04-17 21:16:29;189861;1;6.8;16;107.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8865266204;2024-04-17 21:16:36;189929;2;7.3;16;107.1;8;66;3.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8866111111;2024-04-17 21:16:43;190002;1;1.3;16;107.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8866261574;2024-04-17 21:16:45;190015;0;193.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8888668981;2024-04-17 21:19:58;191951;1;1.7;17;293.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8888865741;2024-04-17 21:20:00;191968;2;6.6;17;293.9;8;73;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8889629630;2024-04-17 21:20:06;192034;1;8.1;17;293.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8890567130;2024-04-17 21:20:15;192115;2;0.8;17;293.9;2;150;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8890659722;2024-04-17 21:20:15;192123;1;38.8;17;293.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8895150463;2024-04-17 21:20:54;192511;2;21.8;17;293.9;24;66;6.0;0.0;0.0;0.0;0.0;0.00;-1.05;
45399.8897673611;2024-04-17 21:21:16;192729;1;115.1;17;293.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8910995370;2024-04-17 21:23:11;193880;2;3.9;17;293.9;2;31;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8911446759;2024-04-17 21:23:15;193919;1;58.4;17;293.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8918206018;2024-04-17 21:24:13;194503;2;2.6;17;293.9;4;92;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8918506944;2024-04-17 21:24:16;194529;1;30.5;17;293.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8922037037;2024-04-17 21:24:46;194834;2;5.0;17;293.9;8;96;1.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8922615741;2024-04-17 21:24:51;194884;1;0.6;17;293.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8922685185;2024-04-17 21:24:52;194890;0;25.3;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8925613426;2024-04-17 21:25:17;195143;1;38.9;18;38.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8930115741;2024-04-17 21:25:56;195532;0;56.2;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8936620370;2024-04-17 21:26:52;196094;1;1.3;19;162.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8936770833;2024-04-17 21:26:54;196107;2;9.5;19;162.0;12;76;2.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8937870370;2024-04-17 21:27:03;196202;1;21.5;19;162.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8940358796;2024-04-17 21:27:25;196417;2;5.5;19;162.0;4;44;1.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8940995370;2024-04-17 21:27:30;196472;1;8.6;19;162.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8941990741;2024-04-17 21:27:39;196558;2;4.2;19;162.0;4;57;0.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8942476852;2024-04-17 21:27:43;196600;1;8.0;19;162.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8943402778;2024-04-17 21:27:51;196680;2;17.1;19;162.0;26;91;3.7;0.0;0.0;0.0;0.0;0.00;-1.89;
45399.8945381944;2024-04-17 21:28:08;196851;1;53.6;19;162.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8951585648;2024-04-17 21:29:02;197387;2;4.2;19;162.0;2;29;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8952071759;2024-04-17 21:29:06;197429;1;6.8;19;162.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8952858796;2024-04-17 21:29:13;197497;2;4.6;19;162.0;4;52;1.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8953391204;2024-04-17 21:29:17;197543;1;7.8;19;162.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8954293981;2024-04-17 21:29:25;197621;2;8.7;19;162.0;12;83;2.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8955300926;2024-04-17 21:29:34;197708;1;0.6;19;162.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.8955370370;2024-04-17 21:29:34;197714;0;573.3;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9021724537;2024-04-17 21:39:08;203447;1;1.8;20;39.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9021932870;2024-04-17 21:39:10;203465;2;8.6;20;39.2;14;98;3.5;0.0;0.0;0.0;0.0;0.00;-3.62;
45399.9022928241;2024-04-17 21:39:18;203551;1;9.4;20;39.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9024016204;2024-04-17 21:39:28;203645;2;17.3;20;39.2;22;76;5.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9026018518;2024-04-17 21:39:45;203818;1;2.1;20;39.2;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9026261574;2024-04-17 21:39:47;203839;0;2411.6;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9305381944;2024-04-17 22:19:59;227955;1;1.4;21;294.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9305543981;2024-04-17 22:20:00;227969;2;28.3;21;294.8;30;64;5.1;0.0;0.0;0.0;0.0;0.00;-17.15;
45399.9308819444;2024-04-17 22:20:28;228252;1;201.2;21;294.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9332106481;2024-04-17 22:23:49;230264;2;2.6;21;294.8;4;92;0.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9332407407;2024-04-17 22:23:52;230290;1;7.3;21;294.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9333252315;2024-04-17 22:23:59;230363;2;5.0;21;294.8;2;24;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9333831019;2024-04-17 22:24:04;230413;1;27.0;21;294.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9336956019;2024-04-17 22:24:31;230683;2;1.3;21;294.8;2;92;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9337106481;2024-04-17 22:24:33;230696;1;7.7;21;294.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9337997685;2024-04-17 22:24:40;230773;2;12.3;21;294.8;16;78;5.8;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9339421296;2024-04-17 22:24:53;230896;1;0.7;21;294.8;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9339502315;2024-04-17 22:24:53;230903;5;685.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9418888889;2024-04-17 22:36:19;237762;1;2.1;22;38.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9419131944;2024-04-17 22:36:21;237783;2;11.6;22;38.1;14;72;2.9;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9420474537;2024-04-17 22:36:33;237899;1;12.8;22;38.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9421956018;2024-04-17 22:36:46;238027;2;8.5;22;38.1;14;99;4.4;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9422939815;2024-04-17 22:36:54;238112;1;3.1;22;38.1;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9423298611;2024-04-17 22:36:57;238143;0;1507.1;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9597731481;2024-04-17 23:02:04;253214;1;10.9;23;66.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9598993056;2024-04-17 23:02:15;253323;2;29.4;23;66.0;32;65;3.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9602395833;2024-04-17 23:02:45;253617;1;9.3;23;66.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9603472222;2024-04-17 23:02:54;253710;2;1.3;23;66.0;2;92;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9603622685;2024-04-17 23:02:55;253723;1;7.7;23;66.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9604513889;2024-04-17 23:03:03;253800;2;5.5;23;66.0;6;65;2.6;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9605150463;2024-04-17 23:03:09;253855;1;1.9;23;66.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9605370370;2024-04-17 23:03:10;253874;0;2734.8;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9921898148;2024-04-17 23:48:45;281222;1;1.1;24;11.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9922025463;2024-04-17 23:48:46;281233;2;7.5;24;11.9;10;80;4.2;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9922893519;2024-04-17 23:48:54;281308;1;3.3;24;11.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9923275463;2024-04-17 23:48:57;281341;0;61.4;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9930381944;2024-04-17 23:49:59;281955;1;1.3;25;93.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9930532407;2024-04-17 23:50:00;281968;2;3.6;25;93.6;6;100;2.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9930949074;2024-04-17 23:50:03;282004;1;36.0;25;93.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9935115741;2024-04-17 23:50:39;282364;2;2.1;25;93.6;4;114;0.7;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9935358796;2024-04-17 23:50:42;282385;1;12.4;25;93.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9936793981;2024-04-17 23:50:54;282509;2;15.1;25;93.6;16;64;4.2;0.0;0.0;0.0;0.0;0.00;-1.35;
45399.9938541667;2024-04-17 23:51:09;282660;1;23.1;25;93.6;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9941215278;2024-04-17 23:51:32;282891;0;68.7;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9949166667;2024-04-17 23:52:41;283578;1;1.4;26;13.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9949328704;2024-04-17 23:52:42;283592;2;2.7;26;13.4;2;44;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9949641204;2024-04-17 23:52:45;283619;1;9.3;26;13.4;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45399.9950717593;2024-04-17 23:52:54;283712;3.1;2443.9;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45400.0233576389;2024-04-18 00:33:38;308151;1;1.4;27;22.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45400.0233738426;2024-04-18 00:33:40;308165;2;9.0;27;22.9;10;67;7.3;0.0;0.0;0.0;0.0;0.00;-0.00;
45400.0234780093;2024-04-18 00:33:49;308255;1;12.5;27;22.9;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
45400.0236226852;2024-04-18 00:34:01;308380;0;59.3;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.00;-0.00;
